"id","breedtegraad","lengtegraad","weergavenaam","plaatsnaam","landcode","landnaam","status","status_uitleg","statusvolgorde","markerkleur","actief","oppervlakte_ha","oppervlakte","markergrootte","ontstaansdatum","ontstaansdatum_iso","duur_dagen","duur","detecties_24u","detecties_7d","uren_sinds_update","brandgevaar","status_bijgewerkt","bron_bijgewerkt_utc","opgehaald_utc","bron","bron_url"
"modis_ba_pt_7day.fid--4ba6c401_19fcb51e647_-5933",40.6805,-8.152,"Bosbrand",,,"Onbekend land","Uitgedoofd","Volgens de laatste beschikbare bronupdate was deze brand uitgedoofd.",3,"#FCD9BE","Nee",,"Niet beschikbaar",0.1,"Niet beschikbaar",,,"Niet beschikbaar",,,,"Laag","Niet beschikbaar",,"2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"modis_ba_pt_7day.fid--4ba6c401_19fcb51e647_-5930",40.0008,-8.6349,"Bosbrand",,,"Onbekend land","Uitgedoofd","Volgens de laatste beschikbare bronupdate was deze brand uitgedoofd.",3,"#FCD9BE","Nee",,"Niet beschikbaar",0.1,"Niet beschikbaar",,,"Niet beschikbaar",,,,"Gemiddeld","Niet beschikbaar",,"2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"modis_ba_pt_7day.fid--4ba6c401_19fcb51e647_-592e",41.6367,-7.3369,"Bosbrand",,,"Onbekend land","Uitgedoofd","Volgens de laatste beschikbare bronupdate was deze brand uitgedoofd.",3,"#FCD9BE","Nee",,"Niet beschikbaar",0.1,"Niet beschikbaar",,,"Niet beschikbaar",,,,"Hoog","Niet beschikbaar",,"2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"modis_ba_pt_7day.fid--4ba6c401_19fcb51e647_-592c",40.0085,-8.6532,"Bosbrand",,,"Onbekend land","Uitgedoofd","Volgens de laatste beschikbare bronupdate was deze brand uitgedoofd.",3,"#FCD9BE","Nee",,"Niet beschikbaar",0.1,"Niet beschikbaar",,,"Niet beschikbaar",,,,"Gemiddeld","Niet beschikbaar",,"2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"modis_ba_pt_7day.fid--4ba6c401_19fcb51e647_-592b",41.7171,-7.5828,"Bosbrand",,,"Onbekend land","Uitgedoofd","Volgens de laatste beschikbare bronupdate was deze brand uitgedoofd.",3,"#FCD9BE","Nee",,"Niet beschikbaar",0.1,"Niet beschikbaar",,,"Niet beschikbaar",,,,"Hoog","Niet beschikbaar",,"2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"modis_ba_pt_7day.fid--4ba6c401_19fcb51e647_-5929",39.5996,-8.7365,"Bosbrand",,,"Onbekend land","Uitgedoofd","Volgens de laatste beschikbare bronupdate was deze brand uitgedoofd.",3,"#FCD9BE","Nee",,"Niet beschikbaar",0.1,"Niet beschikbaar",,,"Niet beschikbaar",,,,"Laag","Niet beschikbaar",,"2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"modis_ba_pt_7day.fid--4ba6c401_19fcb51e647_-5927",40.7429,-8.1617,"Bosbrand",,,"Onbekend land","Uitgedoofd","Volgens de laatste beschikbare bronupdate was deze brand uitgedoofd.",3,"#FCD9BE","Nee",,"Niet beschikbaar",0.1,"Niet beschikbaar",,,"Niet beschikbaar",,,,"Laag","Niet beschikbaar",,"2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"modis_ba_pt_7day.fid--4ba6c401_19fcb51e647_-5925",39.6921,-7.5739,"Bosbrand",,,"Onbekend land","Uitgedoofd","Volgens de laatste beschikbare bronupdate was deze brand uitgedoofd.",3,"#FCD9BE","Nee",,"Niet beschikbaar",0.1,"Niet beschikbaar",,,"Niet beschikbaar",,,,"Zeer hoog","Niet beschikbaar",,"2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592397",37.2244,-6.8596,"Moguer","Moguer","ES","Spanje","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",1,"1 hectare",0.35,"2 augustus 2026","2026-08-02",2,"2 dagen",0,,21,"Hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.800Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"591818",39.5391,8.9625,"Furtei","Furtei","IT","Italië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",145,"145 hectare",1.43,"2 augustus 2026","2026-08-02",2,"2 dagen",0,,23,"Extreem","4 augustus 2026 om 07:42","2026-08-04T05:42:33.802Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
